Time of Day,Notes,Units,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
00:00 to 01:00,note 1,Index number,12.1,11.1,11.8,12.5,14.1,21.0,24.2
01:00 to 02:00,note 1,Index number,7.6,7.3,7.7,7.7,9.0,13.0,14.7
02:00 to 03:00,note 1,Index number,6.2,6.4,6.7,6.9,7.5,9.6,10.2
03:00 to 04:00,note 1,Index number,7.6,7.7,7.7,8.0,8.6,8.9,8.9
04:00 to 05:00,note 1,Index number,14.0,13.6,13.6,13.7,14.0,10.5,8.5
05:00 to 06:00,note 1,Index number,39.0,39.9,39.7,39.2,37.0,19.6,13.6
06:00 to 07:00,note 1,Index number,88.2,95.1,94.7,93.0,83.7,34.7,22.8
07:00 to 08:00,note 1,Index number,159.8,176.4,175.5,172.3,154.8,60.3,36.6
08:00 to 09:00,note 1,Index number,180.1,196.8,197.2,196.0,181.0,99.3,58.0
09:00 to 10:00,note 1,Index number,143.0,150.7,152.2,152.9,152.1,138.8,99.3
10:00 to 11:00,note 1,Index number,143.3,140.2,142.0,145.4,157.5,169.1,140.3
11:00 to 12:00,note 1,Index number,150.6,143.3,145.9,149.7,168.9,183.9,163.0
12:00 to 13:00,note 1,Index number,154.5,148.6,151.7,155.9,179.3,186.8,173.5
13:00 to 14:00,note 1,Index number,153.6,150.3,153.5,157.4,181.7,177.4,168.4
14:00 to 15:00,note 1,Index number,161.9,162.1,166.2,169.6,192.9,166.1,160.1
15:00 to 16:00,note 1,Index number,181.3,187.2,190.5,194.3,211.6,157.2,155.6
16:00 to 17:00,note 1,Index number,196.6,208.7,210.4,212.4,222.8,158.3,158.2
