weather_condition,Fatal,Serious,Slight,Total,Slight_Proportion,Serious_Proportion,Fatal_Proportion
Fine + high winds,24,270,683,977,0.9253479196124804,1.2047203118719985,1.623724387751483
Fine no high winds,1241,18817,61971,82029,1.0,1.0,1.0
Fog or mist,7,72,254,333,1.0096442959879084,0.9425519477068608,1.3894708568358851
Raining + high winds,32,293,900,1225,0.972490424257034,1.0426740474581713,1.726670723083754
Raining no high winds,182,2935,9723,12840,1.0023379529194918,0.9964605603701964,0.9369189001935432
Snowing + high winds,0,12,30,42,0.9454768013610052,1.2455150737554943,0.0
Snowing no high winds,8,83,305,396,1.019491399447347,0.9136922447625536,1.335335628647474
Fine,1241,18817,61971,82029,1.0,1.0,1.0
High winds,56,575,1613,2244,0.9514597650772824,1.1170227655672609,1.649532247152762
Raining,182,2935,9723,12840,1.0023379529194918,0.9964605603701964,0.9369189001935432
Snowing,8,83,305,396,1.019491399447347,0.9136922447625536,1.335335628647474
