Time of Day,Average Proportion
0,15.257142857142856
1,9.571428571428571
2,7.642857142857143
3,8.2
4,12.55714285714286
5,32.57142857142857
6,73.17142857142856
7,133.67142857142855
8,158.34285714285713
9,141.28571428571428
10,148.25714285714284
11,157.9
12:00,164.32857142857142
13,163.18571428571428
14,168.41428571428568
15,182.5285714285714
16,195.34285714285716
17,186.2142857142857
18,145.31428571428572
19,104.98571428571428
20,74.8
21,55.34285714285714
22,40.371428571428574
23,25.228571428571428
